DateTime,Open,High,Low,Close,Volume,EMA10,EMA30,EMA60,SMA10,SMA30,SMA60,WMA10,WMA30,WMA60,RSI10,RSI30,RSI60,MOM10,MOM30,MOM60,EMA,SMA,WMA,Signal,Fortune,Balance,LongPos,ShortPos
3/1/2011,3658,3669,3628,3660,6729,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
4/1/2011,3632,3713,3614,3696,6776,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
5/1/2011,3628,3659,3598,3616,13129,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
6/1/2011,3688,3702,3653,3672,11863,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
7/1/2011,3655,3655,3567,3569,17658,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
10/1/2011,3596,3615,3538,3538,10650,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
11/1/2011,3558,3567,3508,3511,11125,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
12/1/2011,3538,3542,3421,3450,7160,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
13/1/2011,3516,3516,3448,3475,2944,,,,,,,,,,,,,,,,,,,,10000000.0,10000000.0,0,0
14/1/2011,3452,3508,3452,3460,2368,3564.7,,,3564.7,,,3522.0545450000004,,,,,,,,,,,,,10000000.0,10000000.0,0,0
17/1/2011,3471,3505,3429,3463,1227,3546.2090909999997,,,3545.0,,,3503.563636,,,27.45995423,,,-197.0,,,,,,,10000000.0,10000000.0,0,0
18/1/2011,3423,3487,3423,3483,1837,3534.716529,,,3523.7,,,3492.2909090000003,,,30.97023954,,,-213.0,,,,,,,10000000.0,10000000.0,0,0
19/1/2011,3510,3551,3509,3549,3281,3537.313524,,,3517.0,,,3496.890909,,,41.37269676,,,-67.0,,,,,,,10000000.0,10000000.0,0,0
21/1/2011,3533,3614,3527,3564,1260,3542.16561,,,3506.2,,,3505.436364,,,43.52193327,,,-108.0,,,,,,,10000000.0,10000000.0,0,0
24/1/2011,3621,3652,3561,3561,1810,3545.5900450000004,,,3505.4,,,3515.4,,,43.17024628,,,-8.0,,,,,,,10000000.0,10000000.0,0,0
25/1/2011,3525,3552,3501,3510,3190,3539.1191280000003,,,3502.6,,,3516.236364,,,37.45352253,,,-28.0,,,,,,,10000000.0,10000000.0,0,0
26/1/2011,3435,3503,3428,3480,1781,3528.3701950000004,,,3499.5,,,3512.1272729999996,,,34.47010615,,,-31.0,,,,,,,10000000.0,10000000.0,0,0
27/1/2011,3511,3532,3477,3506,1833,3524.302887,,,3505.1,,,3513.3090909999996,,,39.13855938,,,56.0,,,,,,,10000000.0,10000000.0,0,0
28/1/2011,3495,3533,3495,3522,1172,3523.8841799999996,,,3509.8,,,3516.381818,,,41.9655449,,,47.0,,,,,,,10000000.0,10000000.0,0,0
31/1/2011,3556,3631,3556,3631,1910,3543.359784,,,3526.9,,,3538.418182,,,57.0623136,,,171.0,,,,,,,10000000.0,10000000.0,0,0
2/2/2011,3677,3730,3676,3721,864,3575.658005,,,3552.7,,,3573.7090909999997,,,65.33524968,,,258.0,,,,,,,10000000.0,10000000.0,0,0
7/2/2011,3746,3746,3697,3703,2994,3598.8110950000005,,,3574.7,,,3601.036364,,,62.65269685,,,220.0,,,,,,,10000000.0,10000000.0,0,0
8/2/2011,3697,3724,3656,3724,2860,3621.572714,,,3592.2,,,3628.181818,,,64.54000856,,,175.0,,,,,,,10000000.0,10000000.0,0,0
9/2/2011,3714,3772,3707,3761,3433,3646.9231299999997,,,3611.9,,,3658.8727270000004,,,67.73223169,,,197.0,,,,,,,10000000.0,10000000.0,0,0
10/2/2011,3801,3801,3722,3759,2578,3667.3007420000004,,,3631.7,,,3685.618182,,,67.3679864,,,198.0,,,,,,,10000000.0,10000000.0,0,0
11/2/2011,3747,3791,3738,3777,1902,3687.2460619999997,,,3658.4,,,3712.036364,,,69.03329074,,,267.0,,,,,,,10000000.0,10000000.0,0,0
14/2/2011,3759,3778,3743,3756,3260,3699.746778,,,3686.0,,,3729.781818,,,64.74984978,,,276.0,,,,,,,10000000.0,10000000.0,0,0
16/2/2011,3686,3693,3612,3616,11703,3684.520091,,,3697.0,,,3717.0545450000004,,,44.36070917,,,110.0,,,,,,,10000000.0,10000000.0,0,0
17/2/2011,3641,3651,3519,3596,16742,3668.425529,,,3704.4,,,3698.6909090000004,,,42.24899104,,,74.0,,,,,,,10000000.0,10000000.0,0,0
18/2/2011,3623,3656,3531,3554,16129,3647.6208869999996,3596.1,,3696.7,3596.1,,3671.3454549999997,3617.8064520000003,,38.02534587,,,-77.0,,,51.520887,100.6,53.539003,0.0,10000000.0,10000000.0,0,0
21/2/2011,3494,3549,3492,3527,11407,3625.6898170000004,3591.641935,,3677.3,3591.666667,,3640.4909090000006,3613.3483869999995,,35.49102505,44.49958644,,-194.0,-133.0,,34.047882,85.633333,27.142521999999996,0.0,10000000.0,10000000.0,0,0
22/2/2011,3550,3575,3510,3540,13795,3610.10985,3588.3101979999997,,3661.0,3586.466667,,3615.5272729999997,3610.015054,,37.71193197,45.11015204,,-163.0,-156.0,,21.799652,74.533333,5.512219,0.0,10000000.0,10000000.0,0,0
23/2/2011,3416,3429,3374,3385,16587,3569.180787,3575.1934109999997,,3627.1,3578.7666670000003,,3565.3454549999997,3597.0172039999998,,25.89934846,39.72048144,,-339.0,-231.0,,-6.012624,48.333333,-31.671749,0.0,10000000.0,10000000.0,0,0
24/2/2011,3413,3421,3207,3328,27351,3525.3297340000004,3559.245449,,3583.8,3567.3,,3510.963636,3580.83871,,22.96067452,37.99359136,,-433.0,-344.0,,-33.915715000000006,16.5,-69.875074,0.0,10000000.0,10000000.0,0,0
25/2/2011,3319,3412,3294,3386,16027,3499.997055,3548.0683229999995,,3546.5,3561.2,,3475.0,3569.141935,,31.71992919,40.70708846,,-373.0,-183.0,,-48.071267999999996,-14.7,-94.141935,-0.0,10000000.0,10000000.0,0,0
28/2/2011,3441,3462,3318,3343,16891,3471.452136,3534.8381090000003,,3503.1,3554.7,,3438.0,3555.0645159999995,,29.00347338,39.38521547,,-434.0,-195.0,,-63.385973,-51.6,-117.064516,0.01,9995774.13,9902870.13,28,0
1/3/2011,3321,3433,3321,3417,13506,3461.551748,3527.23565,,3469.2,3551.566667,,3422.3454549999997,3546.1806450000004,,38.99351294,42.69787597,,-339.0,-94.0,,-65.683902,-82.366667,-123.83519,0.03,9985635.65,9607041.65,114,0
2/3/2011,3431,3500,3377,3461,20891,3461.4514299999996,3522.962382,,3453.7,3551.933333,,3420.854545,3540.3376340000004,,44.18246007,44.56148234,,-155.0,11.0,,-61.510952,-98.233333,-119.48308899999999,0.03,9981359.65,9319467.65,196,0
3/3/2011,3497,3519,3435,3471,14839,3463.187534,3519.6099710000003,,3441.2,3551.8,,3424.0,3535.116129,,45.35613929,44.98216781,,-125.0,-4.0,,-56.422437,-110.6,-111.116129,0.04,9983168.66,8949233.66,301,0
4/3/2011,3473,3536,3458,3531,10593,3475.5170729999995,3520.344811,,3438.9,3554.166667,,3440.327273,3533.7741939999996,,52.074375200000006,47.45694301,,-23.0,71.0,,-44.827738000000004,-115.266667,-93.446921,0.04,9981499.39,8591383.39,402,0
7/3/2011,3531,3571,3531,3566,8414,3491.968514,3523.290307,,3442.8,3557.6,,3463.436364,3534.5376340000003,,55.61156219,48.84547655,,39.0,103.0,,-31.321793,-114.8,-71.10127,0.04,10006319.76,8247881.76,498,0
8/3/2011,3522,3536,3442,3455,13849,3485.2469659999997,3518.884481,,3434.3,3556.666667,,3465.6545450000003,3527.91828,,44.13344844,44.94844517,,-85.0,-28.0,,-33.637515,-122.36666699999999,-62.263735,0.04,9952598.06,7918376.06,591,0
9/3/2011,3456,3490,3428,3456,8931,3479.929336,3514.827418,,3441.4,3553.566667,,3469.6,3521.4236560000004,,44.24863332,44.98934831,,71.0,-93.0,,-34.898082,-112.16666699999999,-51.823656,0.04,9938115.86,7603647.86,681,0
10/3/2011,3390,3403,3312,3330,16952,3452.669457,3502.903068,,3441.6,3545.7666670000003,,3449.3454549999997,3507.0,,34.33719921,41.01702166,,2.0,-234.0,,-50.233610999999996,-104.166667,-57.654545,0.06,9846013.86,7146733.86,815,0
11/3/2011,3328,3354,3227,3235,19837,3413.0931920000003,3485.6189990000003,,3426.5,3534.9,,3411.781818,3486.950538,,28.91189868,38.37429652,,-151.0,-326.0,,-72.525807,-108.4,-75.16872,0.12,9742643.32,6289753.32,1070,0
14/3/2011,3206,3230,3152,3206,19886,3375.4398840000003,3467.579064,,3412.8,3524.7666670000003,,3371.6909090000004,3465.731183,,27.44129574,37.60909055,,-137.0,-304.0,,-92.13918000000001,-111.96666699999999,-94.040274,0.14,9639420.2,5409436.2,1342,0
15/3/2011,3121,3291,3121,3256,16991,3353.723542,3453.9288020000004,,3396.7,3517.3,,3343.181818,3448.3913979999998,,33.88382006,39.75186661,,-161.0,-224.0,,-100.20526,-120.6,-105.20958,0.09,9571860.65,4924691.65,1489,0
16/3/2011,3186,3254,3161,3239,5983,3332.864716,3440.0624270000003,,3374.5,3508.4,,3314.509091,3430.436559,,32.78413902,39.2774057,,-222.0,-267.0,,-107.19771100000001,-133.9,-115.92746799999999,0.08,9619380.18,4530170.18,1610,0
17/3/2011,3222,3256,3201,3238,2889,3315.616586,3427.026142,,3351.2,3498.933333,,3289.690909,3412.9913979999997,,32.71474429,39.24889915,,-233.0,-284.0,,-111.40955600000001,-147.73333300000002,-123.30048899999998,0.07,9677813.52,4213706.52,1707,0
18/3/2011,3296,3334,3271,3334,1272,3318.959025,3421.0244549999998,,3331.5,3489.033333,,3286.563636,3402.350538,,45.10835051,43.3332648,,-197.0,-297.0,,-102.06543,-157.533333,-115.786902,0.07,9791172.74,3919727.74,1795,0
21/3/2011,3359,3366,3306,3309,2187,3317.148293,3413.797071,,3305.8,3475.3,,3282.472727,3390.7354840000003,,42.82585419,42.56238189,,-257.0,-412.0,,-96.64877800000001,-169.5,-108.26275700000001,0.09,9847057.61,3568963.61,1899,0
22/3/2011,3276,3286,3186,3199,2340,3295.6667850000003,3399.9391950000004,,3280.2,3458.5,,3263.054545,3372.909677,,34.33266462,39.37412125,,-256.0,-504.0,,-104.27241,-178.3,-109.85513200000001,0.12,9605323.25,3140929.25,2029,0
23/3/2011,3231,3256,3200,3206,1862,3279.3637329999997,3387.426989,,3255.2,3441.2333329999997,,3249.563636,3356.619355,,35.24075568,39.67161525,,-250.0,-518.0,,-108.06325600000001,-186.033333,-107.055719,0.11,9627102.98,2795102.98,2135,0
